incident_id,incident_date,incident_type,severity,status,affected_system,department,region,assigned_analyst,resolution_date,estimated_cost_usd,records_affected,is_regulatory_breach,notes
INC-0001,2024-11-23,Unauthorized Access,High,Open,CRM,Legal,West,Priya Mehta,,37111.33,1952,Yes,Third-party vendor involved
INC-0002,2024-04-29,Malware,Medium,In Progress,Cloud Storage,Legal,East,Priya Mehta,2024-04-30,7188.59,49729,Yes,Containment successful
INC-0003,2024-06-23,Malware,High,Open,Web App,SecOps,East,Neha Joshi,2024-06-30,15780.44,2847,Under Review,
INC-0004,2024-10-01,Data Exfiltration,Critical,Resolved,VPN Gateway,Marketing,North,Priya Mehta,,12280.63,43336,Yes,Investigation ongoing
INC-0005,2024-02-10,Brute Force,Low,Resolved,Email Server,IT,East,Amit Verma,2024-03-09,3863.25,43920,No,User error confirmed
INC-0006,2024-11-07,Malware,Medium,Resolved,VPN Gateway,Marketing,East,Priya Mehta,2024-11-25,1717.68,15010,Yes,No data loss confirmed
INC-0007,2024-07-24,Brute Force,High,Closed,Cloud Storage,HR,East,Sara Khan,2024-07-31,32287.67,16162,Under Review,Investigation ongoing
INC-0008,2024-10-26,Unauthorized Access,Critical,Closed,CRM,SecOps,North,Rohan Das,2024-11-14,54618.47,10016,Under Review,Patch applied
INC-0009,2024-12-14,Brute Force,Critical,Resolved,ERP,Marketing,North,Neha Joshi,2024-12-17,57552.08,42006,No,User error confirmed
INC-0010,2024-05-30,Data Exfiltration,Low,In Progress,CRM,SecOps,East,Amit Verma,2024-06-14,9542.78,10016,No,Patch applied
INC-0011,2024-10-03,Brute Force,Low,Open,CRM,IT,East,Amit Verma,2024-11-02,6029.55,3796,Yes,User error confirmed
INC-0012,2024-02-13,Unauthorized Access,Low,In Progress,Cloud Storage,Legal,South,Neha Joshi,2024-03-11,9782.05,34581,Under Review,Containment successful
INC-0013,2024-04-18,Malware,Medium,Resolved,Cloud Storage,Legal,West,Rohan Das,2024-05-13,7158.19,16246,Yes,User error confirmed
INC-0014,2024-06-22,Phishing,Medium,Open,ERP,HR,North,Priya Mehta,,5925.56,21654,Yes,Third-party vendor involved
INC-0015,2024-05-22,Brute Force,Medium,In Progress,Cloud Storage,SecOps,West,Amit Verma,2024-05-29,7261.19,6181,Yes,Containment successful
INC-0016,2024-06-30,Ransomware,Low,Open,Endpoint,Marketing,East,Rohan Das,2024-07-15,6766.31,16295,Yes,Third-party vendor involved
INC-0017,2024-10-01,DDoS,Medium,Open,Cloud Storage,SecOps,Central,Rohan Das,2024-10-15,2857.6,3315,Under Review,Escalated to CISO
INC-0018,2024-02-17,Brute Force,Medium,Closed,VPN Gateway,SecOps,West,Priya Mehta,2024-03-16,1746.48,10789,No,Escalated to CISO
INC-0019,2024-07-18,Brute Force,Critical,In Progress,VPN Gateway,IT,South,Priya Mehta,2024-08-13,43144.76,37957,Under Review,Escalated to CISO
INC-0020,2024-06-09,Unauthorized Access,Critical,Open,CRM,SecOps,South,Rohan Das,,75676.13,38996,Yes,Third-party vendor involved
INC-0021,2024-07-25,Phishing,Medium,Open,Endpoint,Marketing,Central,Karan Singh,,5831.3,17089,Yes,No data loss confirmed
INC-0022,2024-05-02,Ransomware,High,Open,Cloud Storage,Legal,Central,Rohan Das,2024-05-07,68855.07,4801,Under Review,Third-party vendor involved
INC-0023,2024-09-16,DDoS,High,Resolved,Database,HR,West,Neha Joshi,2024-10-16,132189.19,40086,Under Review,Escalated to CISO
INC-0024,2024-12-07,Unauthorized Access,Low,Resolved,CRM,Finance,Central,Sara Khan,2024-12-17,9395.41,17848,No,Third-party vendor involved
INC-0025,2024-06-24,Data Exfiltration,High,Open,CRM,Marketing,West,Neha Joshi,2024-07-15,76058.65,2889,Yes,No data loss confirmed
